run,rep_y1,rep_y2,rep_y3,rep_y4,rep_y5,final_budget,final_reputation,final_sustainability,final_economy,trust_Terra,trust_Syndikat,trust_Bürger,trust_Union_der_Gilden,trust_Der_Bund,votes_won,votes_lost
1,49,54,49,48,47,65,47,40,60,54,55,43,44,35,6,14
2,55,57,62,61,61,65,61,40,60,55,47,62,51,54,10,10
3,57,62,62,65,62,65,62,40,60,50,49,63,55,59,11,9
4,60,57,54,59,64,65,64,40,60,74,37,60,54,34,11,9
5,63,66,71,76,73,65,73,40,60,77,15,70,42,42,14,6
6,55,57,57,57,62,65,62,40,60,53,44,66,63,54,11,9
7,50,45,45,48,53,65,53,40,60,73,28,63,50,42,10,10
8,50,40,43,42,37,65,37,40,60,34,71,40,58,57,6,14
9,63,60,62,62,60,65,60,40,60,73,30,63,49,33,11,9
10,57,59,59,61,55,65,55,40,60,15,95,29,54,84,8,12
11,60,57,62,67,70,65,70,40,60,53,44,63,66,62,13,7
12,63,63,65,73,75,65,75,40,60,52,38,82,55,69,14,6
13,52,57,54,54,56,65,56,40,60,24,64,49,55,70,9,11
14,55,55,52,52,55,65,55,40,60,44,51,61,47,60,10,10
15,52,57,60,63,65,65,65,40,60,67,40,58,53,36,12,8
16,53,53,61,64,62,65,62,40,60,57,54,50,45,59,13,7
17,63,65,73,78,83,65,83,40,60,66,35,89,66,58,16,4
18,60,62,67,65,63,65,63,40,60,55,48,73,58,61,12,8
19,55,53,52,55,52,65,52,40,60,53,51,52,50,43,9,11
20,60,62,60,60,62,65,62,40,60,40,61,60,56,69,11,9
21,57,57,60,60,62,65,62,40,60,71,37,66,62,41,11,9
22,63,58,60,65,65,65,65,40,60,36,54,63,55,67,12,8
23,57,65,67,72,75,65,75,40,60,53,43,75,64,64,14,6
24,58,52,44,44,44,65,44,40,60,32,61,42,30,65,7,13
25,48,48,46,43,45,65,45,40,60,44,62,47,47,56,8,12
26,50,50,48,50,50,65,50,40,60,64,51,73,59,51,9,11
27,52,50,58,58,61,65,61,40,60,29,74,56,55,84,12,8
28,50,47,46,43,42,65,42,40,60,28,72,30,38,56,5,15
29,58,63,60,68,65,65,65,40,60,68,21,74,60,31,12,8
30,55,55,57,60,68,65,68,40,60,51,49,69,65,61,13,7
31,63,62,62,65,70,65,70,40,60,72,26,67,61,36,13,7
32,58,61,66,66,66,65,66,40,60,47,48,94,73,65,13,7
33,60,60,63,63,68,65,68,40,60,69,32,69,50,38,13,7
34,57,65,73,75,80,65,80,40,60,42,64,85,71,91,15,5
35,55,58,66,74,74,65,74,40,60,55,42,73,53,60,15,5
36,60,60,60,62,70,65,70,40,60,75,15,75,62,26,13,7
37,55,60,50,45,42,65,42,40,60,58,52,50,51,37,7,13
38,50,50,50,55,54,65,54,40,60,52,42,55,37,49,9,11
39,48,40,48,51,54,65,54,40,60,50,45,53,50,53,11,9
40,50,48,48,45,50,65,50,40,60,38,62,51,60,60,9,11
41,55,47,37,36,41,65,41,40,60,19,79,41,46,75,6,14
42,55,60,62,60,57,65,57,40,60,32,63,56,59,67,10,10
43,52,49,57,57,65,65,65,40,60,59,36,75,56,53,12,8
44,60,60,68,70,73,65,73,40,60,57,34,69,70,50,14,6
45,63,68,58,53,53,65,53,40,60,66,31,48,46,32,10,10
46,55,50,52,57,62,65,62,40,60,36,61,60,53,68,11,9
47,55,60,65,61,58,65,58,40,60,64,33,59,42,34,9,11
48,52,54,51,46,46,65,46,40,60,12,87,31,55,64,7,13
49,57,60,63,68,70,65,70,40,60,59,39,74,50,64,13,7
50,58,52,54,59,64,65,64,40,60,35,64,56,57,66,11,9
